country,isonum,isocode,rank_soci2007,rank_soci2008,rank_soci2009,rank_soci2010,rank_soci2011,rank_soci2012,rank_soci2013,rank_soci2014,rank_soci2015,rank_soci2016,soci2007,soci2008,soci2009,soci2010,soci2011,soci2012,soci2013,soci2014,soci2015,soci2016
Jamaica,388,JAM,46,42,44,45,52,50,40,34,34,34,52.6990966796875,52.6990966796875,52.6990966796875,52.6990966796875,52.38689041137695,52.38689041137695,54.250526428222656,56.75052261352539,56.75052261352539,56.75052261352539
Jordan,400,JOR,105,110,94,88,91,106,89,108,68,68,44.99545669555664,43.177276611328125,46.31364059448242,47.115909576416016,46.525001525878906,44.2977294921875,47.80795669555664,45.85340881347656,50.580684661865234,50.580684661865234
Japan,392,JPN,56,76,77,56,54,64,78,88,101,101,51.4754524230957,49.29364013671875,48.375911712646484,51.78499984741211,51.55772399902344,50.469093322753906,49.060001373291016,47.48455047607422,46.98454284667969,46.98454284667969
Kazakhstan,398,KAZ,129,130,117,118,117,85,132,113,109,109,41.30372619628906,41.03099822998047,42.531005859375,43.39463424682617,42.62191390991211,48.094905853271484,42.822181701660156,45.36763381958008,46.413089752197266,46.413089752197266
Kenya,404,KEN,30,45,41,48,38,36,17,17,17,17,55.623931884765625,52.26029586791992,52.942108154296875,52.55368423461914,54.28095626831055,55.00823211669922,60.75520324707031,60.573387145996094,61.48248291015625,61.48248291015625
Kyrgyzstan,417,KGZ,98,104,107,84,99,96,112,50,47,47,45.63090896606445,44.76727294921875,43.83454132080078,47.80059051513672,45.36825180053711,45.95915985107422,44.82279586791992,53.55006408691406,54.23188781738281,54.23188781738281
Cambodia,116,KHM,125,116,93,79,68,105,110,117,95,95,41.72418212890625,42.41482162475586,46.414817810058594,49.14208984375,50.14209747314453,44.36936569213867,44.95882034301758,44.73154830932617,47.73154830932617,47.73154830932617
South Korea,410,KOR,91,100,90,74,81,79,90,104,105,105,47.044639587402344,45.109500885009766,46.609500885009766,49.83677673339844,48.65495681762695,48.719730377197266,47.58336639404297,45.99245834350586,46.76518249511719,46.76518249511719
Kuwait,414,KWT,25,23,25,31,31,29,37,33,35,35,56.4903678894043,56.26870346069336,56.265907287597656,55.220455169677734,55.947731018066406,56.22407150268555,54.990230560302734,56.76295852661133,56.581138610839844,56.581138610839844
Laos,418,LAO,49,27,27,32,25,55,56,59,60,60,52.36199951171875,54.95291519165039,54.95291519165039,54.95291519165039,56.952430725097656,51.497886657714844,51.497886657714844,51.497886657714844,51.497886657714844,51.497886657714844
Lebanon,422,LBN,64,94,91,101,104,107,109,125,129,129,50.82617950439453,45.91709518432617,46.5538215637207,45.64472961425781,45.0538215637207,44.14473342895508,45.14472961425781,43.63636779785156,43.63636779785156,43.63636779785156
Liberia,430,LBR,45,59,64,25,32,34,81,67,96,96,52.781455993652344,50.417823791503906,50.417823791503906,56.78145217895508,55.19599914550781,55.19599914550781,48.51417922973633,50.69600296020508,47.69599914550781,47.69599914550781
Libya,434,LBY,39,35,38,40,43,37,36,44,54,54,53.590911865234375,53.590911865234375,53.590911865234375,53.590911865234375,53.590911865234375,54.99045944213867,54.99045944213867,54.53955078125,52.76681900024414,52.76681900024414
Sri Lanka,144,LKA,63,36,23,27,29,25,24,26,19,19,50.853092193603516,53.35308837890625,56.7713623046875,56.71904754638672,56.49177551269531,57.355411529541016,58.1735954284668,58.17359161376953,61.18218231201172,61.18218231201172
Lesotho,426,LSO,80,82,80,82,83,83,82,80,90,90,48.18636703491211,48.18636703491211,48.18636703491211,48.18636703491211,48.18636703491211,48.228912353515625,48.228912353515625,48.228912353515625,48.088592529296875,48.088592529296875
Lithuania,440,LTU,143,144,147,146,137,139,142,140,125,125,37.81999969482422,38.026817321777344,36.20863723754883,37.435909271240234,40.345001220703125,40.587730407714844,40.36045837402344,39.95136642456055,44.087730407714844,44.087730407714844
Luxembourg,442,LUX,11,13,12,15,14,18,47,19,23,23,61.6218147277832,61.6218147277832,61.58772659301758,61.633182525634766,61.08772659301758,60.496826171875,53.052276611328125,60.052276611328125,58.91591262817383,58.91591262817383
Latvia,428,LVA,96,86,95,96,80,89,77,82,94,94,46.267364501953125,47.176456451416016,46.13099670410156,46.284000396728516,48.70640563964844,47.38822937011719,49.115501403808594,47.99636459350586,47.814544677734375,47.814544677734375
Morocco,504,MAR,121,120,121,127,140,147,143,144,144,144,42.06364059448242,42.06364059448242,42.06364059448242,42.06364059448242,40.164546966552734,38.11909103393555,38.93727493286133,38.755455017089844,39.75545883178711,39.75545883178711
Moldova,498,MDA,100,88,106,106,101,108,127,131,123,123,45.436275482177734,46.61809158325195,43.992340087890625,45.05461502075195,45.23643112182617,44.05461502075195,43.418251037597656,42.31863784790039,44.18227005004883,44.18227005004883
Madagascar,450,MDG,132,131,139,144,142,112,96,87,115,115,41.03096008300781,41.03096008300781,39.95136260986328,38.40909194946289,39.727272033691406,43.77273178100586,46.634910583496094,47.753456115722656,45.48073196411133,45.48073196411133
Mexico,484,MEX,85,91,79,78,98,80,98,96,126,126,47.72772979736328,46.31863784790039,48.18859100341797,49.41586685180664,45.415863037109375,48.691139221191406,46.463863372802734,46.463863372802734,44.054771423339844,44.054771423339844
Macedonia,807,MKD,119,117,119,134,115,128,83,74,119,119,42.19004821777344,42.2768440246582,42.2768440246582,41.14047622680664,42.78663635253906,41.604820251464844,48.19572830200195,48.855953216552734,44.674137115478516,44.674137115478516
Mali,466,MLI,111,106,110,98,88,116,105,91,98,98,44.289161682128906,44.289161682128906,43.24370574951172,45.880069732666016,47.10734558105469,43.4588623046875,45.496822357177734,47.133182525634766,47.54227828979492,47.54227828979492
Malta,470,MLT,15,16,16,19,20,15,10,7,8,8,60.850006103515625,60.74091339111328,60.74091339111328,59.37727737426758,59.513641357421875,61.33182144165039,63.90682601928711,64.31591033935547,63.77045440673828,63.77045440673828
Montenegro,499,MNE,106,102,103,123,119,130,126,84,117,117,44.974891662597656,44.974891662597656,44.72184371948242,42.6763916015625,42.44911193847656,41.5014533996582,43.546913146972656,47.910545349121094,45.319637298583984,45.319637298583984
Mongolia,496,MNG,84,58,61,54,42,49,32,39,30,30,47.76545715332031,50.60499954223633,50.60499954223633,51.923187255859375,53.65045166015625,52.647274017333984,55.420005798339844,55.41999816894531,56.920005798339844,56.920005798339844
Mozambique,508,MOZ,93,103,100,105,96,98,104,110,87,87,46.87522888183594,44.78432083129883,45.060455322265625,45.060455322265625,45.56045913696289,45.56045913696289,45.56045913696289,45.7104606628418,48.2104606628418,48.2104606628418
Mauritania,478,MRT,97,93,70,47,76,90,124,97,82,82,46.029232025146484,46.01693344116211,49.94527816772461,52.62709426879883,49.21800231933594,47.08163833618164,43.84363555908203,46.434547424316406,48.61636734008789,48.61636734008789
Mauritius,480,MUS,23,22,22,26,28,27,29,42,40,40,56.92046356201172,56.92046356201172,56.92046356201172,56.764556884765625,56.764556884765625,56.764556884765625,56.764556884765625,54.927730560302734,54.927730560302734,54.927730560302734
Malawi,454,MWI,50,47,34,34,71,73,93,77,110,110,52.233821868896484,52.233821868896484,54.459999084472656,54.459999084472656,49.5509147644043,49.687278747558594,47.36909103393555,48.59345626831055,46.366180419921875,46.366180419921875
Malaysia,458,MYS,60,70,56,64,62,53,14,21,33,33,51.13795852661133,49.62690734863281,51.62690734863281,50.763267517089844,50.67236328125,51.899635314941406,62.31236267089844,59.846824645996094,56.75591278076172,56.75591278076172
Namibia,516,NAM,48,44,48,49,51,78,76,53,50,50,52.40217971801758,52.40217971801758,52.40217971801758,52.40217971801758,52.40217971801758,49.31818389892578,49.31818389892578,53.02727127075195,53.02727127075195,53.02727127075195
Niger,562,NER,108,122,88,116,86,93,92,115,108,108,44.715274810791016,41.94254684448242,47.210662841796875,43.45615768432617,47.42618179321289,46.47163772583008,47.56254577636719,44.92618179321289,46.42618179321289,46.42618179321289
Nigeria,566,NGA,40,34,60,30,67,43,73,58,59,59,53.47835922241211,53.614723205566406,50.75109100341797,55.43291473388672,50.18464279174805,53.91191101074219,49.68463897705078,51.821006774902344,51.51640701293945,51.51640701293945
Nicaragua,558,NIC,43,65,86,90,95,63,58,60,55,55,52.92698287963867,50.017887115478516,47.33606719970703,47.017887115478516,45.86979675292969,50.824344635009766,51.415252685546875,51.415252685546875,52.55161666870117,52.55161666870117
Netherlands,528,NLD,6,5,3,5,7,6,9,8,13,13,65.2431869506836,66.15227508544922,66.15227508544922,65.38182830810547,64.15454864501953,64.88909149169922,64.02545928955078,64.11637115478516,62.0709114074707,62.0709114074707
Norway,578,NOR,10,10,9,12,12,8,8,6,6,6,62.701820373535156,62.701820373535156,62.65318298339844,62.65318298339844,62.65318298339844,64.06227111816406,64.14682006835938,65.01045989990234,65.055908203125,65.055908203125
Nepal,524,NPL,126,97,141,128,143,97,99,102,67,67,41.6363639831543,45.43782043457031,39.43781661987305,41.84690856933594,39.57418441772461,45.574180603027344,46.43782424926758,46.07418441772461,50.75600814819336,50.75600814819336
New Zealand,554,NZL,3,4,2,2,3,2,1,1,1,1,66.92227935791016,66.93000030517578,66.93000030517578,67.11181640625,66.64590454101562,66.64590454101562,67.73681640625,68.45227813720703,68.9522705078125,68.9522705078125
Oman,512,OMN,59,56,58,61,58,59,64,64,66,66,51.194095611572266,51.194095611572266,51.194095611572266,51.194095611572266,51.194095611572266,51.194095611572266,51.194095611572266,51.194095611572266,50.909095764160156,50.909095764160156
